name,address,city,state,zip,telephone,type,county,lattitude,longitude,emergency,vaccination,dental,vision,pediatric,preventative
HOUSTON METHODIST SAN JACINTO HOSPITAL ALEXANDER CAMPUS,1700 JAMES BOWIE DRIVE,BAYTOWN,TX,77520,(281) 420-8765,GENERAL ACUTE CARE,HARRIS,29.74762022,-94.94547682,y,y,y,y,y,y
WOODS AT PARKSIDETHE,349 OLDE RIDENOUR ROAD,COLUMBUS,OH,43230,(614) 471-2552,SPECIAL,FRANKLIN,40.0271427,-82.88184334,y,y,y,y,y,y
DAYTON CHILDREN'S HOSPITAL,ONE CHILDRENS PLAZA,DAYTON,OH,45404,(937) 641-3300,CHILDREN,MONTGOMERY,39.77424249,-84.16802733,y,y,y,y,y,n
VIBRA HOSPITAL OF MAHONING VALLEY,8049 SOUTH AVENUE,BOARDMAN,OH,44512,(330) 726-5021,LONG TERM CARE,MAHONING,41.0051693,-80.63297231,n,n,n,n,n,y
HAVEN BEHAVIORAL SENIOR CARE OF DAYTON,ONE ELIZABETH PLACEE3 SUITE A,DAYTON,OH,45417,(615) 393-8879,PSYCHIATRIC,MONTGOMERY,39.74773987,-84.19939762,y,n,n,n,n,y
CHG CORNERSTONE HOSPITAL OF OKLAHOMA,1900 GORDON COOPER DRIVE2ND FLOOR,SHAWNEE,OK,74801,(405) 395-5800,LONG TERM CARE,POTTAWATOMIE,35.29726161,-96.92709569,n,n,n,n,n,y
MARY HURLEY HOSPITAL,6 NORTH COVINGTON AVENUE,COALGATE,OK,74538,(580) 927-2327,GENERAL ACUTE CARE,COAL,34.53934684,-96.2237315,y,y,y,y,y,y
TRINITY HOSPITALS,1 W BURDICK EXPY,MINOT,ND,58701,(701) 857-5000,GENERAL ACUTE CARE,WARD,48.23222596,-101.2940853,y,y,y,y,y,y
LIFEBRITE COMMUNITY HOSPITAL OF STOKES,1570 NC 8 & 89 HWY NORTH,DANBURY,NC,27016,(336) 593-2831,GENERAL ACUTE CARE,STOKES,36.418068,-80.23107621,y,y,y,y,y,y
PROVIDENCE HOSPITAL OF NORTH HOUSTON LLC,16750 RED OAK DR,HOUSTON,TX,77090,(281) 453-7110,GENERAL ACUTE CARE,HARRIS,30.0142879,-95.44068702,y,y,y,y,y,y
MCCALLEN MEDICAL CENTER,301 WEST EXPRESSWAY 83,MCALLEN,TX,78503,(956) 632-4000,GENERAL ACUTE CARE,HIDALGO,26.18699237,-98.22573011,y,y,y,y,y,y
PRAIRIE SAINT JOHN'S,510 4TH STREET SOUTH,FARGO,ND,58103,(701) 476-7200,PSYCHIATRIC,CASS,46.86919521,-96.78500526,y,n,n,n,n,y
FAITH COMMUNITY HOSPITAL,215 CHISHOLM TRAIL,JACKSBORO,TX,76458,(940) 567-6633,GENERAL ACUTE CARE,JACK,33.23066769,-98.16693865,y,y,y,y,y,y
COVENANT MEDICAL CENTER - LAKESIDE,4000 24TH STREET,LUBBOCK,TX,79410,(806) 725-0536,GENERAL ACUTE CARE,LUBBOCK,33.57339136,-101.9019483,y,y,y,y,y,y
WOODLANDS SPECIALTY HOSPITAL PLLC,25440 I 45 NORTH,THE WOODLANDS,TX,77386,(281) 602-8160,GENERAL ACUTE CARE,MONTGOMERY,30.13090069,-95.44302258,y,y,y,y,y,y
CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI SHORELINE,600 ELIZABETH STREET,CORPUS CHRISTI,TX,78404,(361) 902-4690,GENERAL ACUTE CARE,NUECES,27.77809368,-97.39474791,y,y,y,y,y,y
THE CORPUS CHRISTI MEDICAL CENTER - NORTHWEST,13725 NORTHWEST BLVD,CORPUS CHRISTI,TX,78410,(361) 767-4300,GENERAL ACUTE CARE,NUECES,27.85491733,-97.63542317,y,y,y,y,y,y
REAGAN MEMORIAL HOSPITAL,1300 N MAIN AVE,BIG LAKE,TX,76932,(325) 884-2561,GENERAL ACUTE CARE,REAGAN,31.20401254,-101.4610176,y,y,y,y,y,y
BAYLOR EMERGENCY MEDICAL CENTER,1975 ALPHASUITE 100,ROCKWALL,TX,75087,(214) 294-6200,GENERAL ACUTE CARE,ROCKWALL,32.9140952,-96.44469769,y,y,y,y,y,y
BAYLOR EMERGENCY MEDICAL CENTER,620 SOUTH MAINSUITE 100,KELLER,TX,76248,(214) 294-6100,GENERAL ACUTE CARE,TARRANT,32.92816374,-97.2547307,y,y,y,y,y,y
BAYLOR EMERGENCY MEDICAL CENTER,12500 SOUTH FREEWAYSUITE 100,BURLESON,TX,76028,(214) 294-6250,GENERAL ACUTE CARE,TARRANT,32.57542408,-97.32118572,y,y,y,y,y,y
BAYLOR EMERGENCY MEDICAL CENTER,1776 NORTH US 287SUITE 100,MANSFIELD,TX,76063,(214) 294-6300,GENERAL ACUTE CARE,TARRANT,32.59672241,-97.14487705,y,y,y,y,y,y
TRINITY HOSPITAL - SAINT JOSEPHS,407 3RD STREET SOUTHEAST,MINOT,ND,58701,(701) 857-5000,GENERAL ACUTE CARE,WARD,48.23216459,-101.2872043,y,y,y,y,y,y
BAYLOR EMERGENCY MEDICAL CENTER,5500 COLLEYVILLE BOULEVARD,COLLEYVILLE,TX,76034,(214) 294-6350,GENERAL ACUTE CARE,TARRANT,32.88879527,-97.1511153,y,y,y,y,y,y
MEDICAL CENTER OF ALLIANCE,3101 NORTH TARRANT PARKWAY,FORT WORTH,TX,76177,(817) 639-1100,GENERAL ACUTE CARE,TARRANT,32.90029252,-97.31392872,y,y,y,y,y,y
TEXAS HEALTH HOSPITAL CLEARFORK,5400 CLEARFORK MAIN ST,FORT WORTH,TX,76109,(817) 433-7010,GENERAL ACUTE CARE,TARRANT,32.70806442,-97.40231314,y,y,y,y,y,y
SHANNON MEDICAL CENTER ST JOHNS CAMPUS,2018 PULLIAM STREET,SAN ANGELO,TX,76905,(325) 653-6741,GENERAL ACUTE CARE,TOM GREEN,31.4717117,-100.4024438,y,y,y,y,y,y
DETAR NORTH,101 MEDICAL DRIVE,VICTORIA,TX,77904,(361) 573-6100,GENERAL ACUTE CARE,VICTORIA,28.85434036,-97.01968631,y,y,y,y,y,y
CENTRA LYNCHBURG GENERAL HOSPITAL,1901 TATE SPRINGS ROAD,LYNCHBURG,VA,24501,(434) 200-3000,GENERAL ACUTE CARE,LYNCHBURG,37.41701527,-79.17157799,y,y,y,y,y,y
SHELTERING ARMS REHABILITATION HOSPITAL,8254 ATLEE ROAD,MECHANICSVILLE,VA,23116,(804) 342-4320,REHABILITATION,HANOVER,37.62767133,-77.38713225,y,y,n,n,n,y
WINCHESTER REHABILITATION CENTER,333 WEST CORK STREET,WINCHESTER,VA,22601,(540) 536-5114,REHABILITATION,WINCHESTER,39.18315586,-78.17239498,y,y,n,n,n,y
SENTARA RMH MEDICAL CENTER,2010 HEALTH CAMPUS DRIVE,HARRISONBURG,VA,22801,(540) 689-1000,GENERAL ACUTE CARE,ROCKINGHAM,38.40478676,-78.85547297,y,y,y,y,y,y
JOHNSTON MEMORIAL HOSPITAL,16000 JOHNSTON MEMORIAL DRIVE,ABINGDON,VA,24211,(276) 258-1000,GENERAL ACUTE CARE,WASHINGTON,36.72291339,-81.91212146,y,y,y,y,y,y
VALLEY HEALTH SHENANDOAH MEMORIAL HOSPITAL,759 SOUTH MAIN STREET,WOODSTOCK,VA,22664,(540) 459-1100,CRITICAL ACCESS,SHENANDOAH,38.8702953,-78.51268401,y,y,y,y,y,y
NAVOS,2600 SW HOLDEN STREET,SEATTLE,WA,98168,(206) 933-7000,PSYCHIATRIC,KING,47.53407121,-122.3661718,y,n,n,n,n,y
WISE REGIONAL HEALTH SYSTEM,609 MEDICAL CENTER DR,DECATUR,TX,76234,(940) 627-5921,GENERAL ACUTE CARE,WISE,33.21710703,-97.5937157,y,y,y,y,y,y
NORFOLK REGIONAL CENTER,1700 NORTH VICTORY RD,NORFOLK,NE,68701,(402) 370-3400,PSYCHIATRIC,MADISON,42.05069795,-97.38426911,y,n,n,n,n,y
CHI HEALTH ST MARY'S,1301 GRUNDMAN BLVD,NEBRASKA CITY,NE,68410,(402) 873-3321,CRITICAL ACCESS,OTOE,40.6799737,-95.86239282,y,y,y,y,y,y
FAITH REGIONAL HEALTH SERVICES,2700 WEST NORFOLK AVE,NORFOLK,NE,68701,(402) 371-4880,GENERAL ACUTE CARE,MADISON,42.03389283,-97.45268418,y,y,y,y,y,y
FAITH REGIONAL HEALTH SERVICES EAST CAMPUS,1500 KOENIGSTEIN AVE,NORFOLK,NE,68701,(402) 371-4880,GENERAL ACUTE CARE,MADISON,42.03435234,-97.43103267,y,y,y,y,y,y
GREAT PLAINS REGIONAL MEDICAL CENTER,601 WEST LEOTA ST,NORTH PLATTE,NE,69101,(308) 696-8000,GENERAL ACUTE CARE,LINCOLN,41.12173395,-100.7699743,y,y,y,y,y,y
ST JOSEPH'S HOSPITAL AND HEALTH CENTER,2500 FAIRWAY STREET,DICKINSON,ND,58601,(701) 456-4000,CRITICAL ACCESS,STARK,46.88907589,-102.8205504,y,y,y,y,y,y
ST. LUKE'S REHABILITATION,600 N. ROBBINS ROAD,BOISE,ID,83702,(208) 489-4444,REHABILITATION,ADA,43.61558765,-116.1915765,y,y,n,n,n,y
ST. LUKE'S MERIDIAN MEDICAL CENTER,520 S. EAGLE ROAD,MERIDIAN,ID,83642,(208) 706-5000,SPECIAL,ADA,43.59969652,-116.3526083,y,y,y,y,y,y
ST. LUKE'S REGIONAL MEDICAL CENTER,190 EAST BANNOCK STREET,BOISE,ID,83712,(208) 381-2222,GENERAL ACUTE CARE,ADA,43.61256538,-116.1924492,y,y,y,y,y,y
VIBRA HOSPITAL OF BOISE,2131 SOUTH BONITO WAY,MERIDIAN,ID,83642,(208) 489-9500,GENERAL ACUTE CARE,ADA,43.58594689,-116.3586157,y,y,y,y,y,y
CAROLINAS HEALTHCARE SYSTEM UNION,600 HOSPITAL DRIVE,MONROE,NC,28111,(704) 283-3100,GENERAL ACUTE CARE,UNION,34.97570679,-80.52284241,y,y,y,y,y,y
WAKEMED NORTH,10000 FALLS OF NEUSE ROAD,RALEIGH,NC,27614,(919) 350-1300,GENERAL ACUTE CARE,WAKE,35.90908232,-78.59783739,y,y,y,y,y,y
VIBRA HOSPITAL OF FORT WAYNE,2200 RANDALLIA DRIVE5TH FLOOR,FORT WAYNE,IN,46805,(260) 399-2900,LONG TERM CARE,ALLEN,41.09617146,-85.11021903,n,n,n,n,n,y
ALTRU SPECIALTY HOSPITAL,4500 S WASHINGTON ST,GRAND FORKS,ND,58201,(701) 780-1500,GENERAL ACUTE CARE,GRAND FORKS,47.87696081,-97.04744399,y,y,y,y,y,y
PEMBINA COUNTY MEMORIAL HOSPITAL,301 MOUNTAIN ST E,CAVALIER,ND,58220,(701) 265-8461,CRITICAL ACCESS,PEMBINA,48.7925461,-97.61871696,y,y,y,y,y,y
SANFORD MEDICAL CENTER FARGO,5225 23RD AVE S,FARGO,ND,58103,(701) 234-6919,GENERAL ACUTE CARE,CASS,46.8452189,-96.87577895,y,y,y,y,y,y
LOGANSPORT STATE HOSPITAL,1098 S SR 25,LOGANSPORT,IN,46947,(574) 722-4141,PSYCHIATRIC,CASS,40.74169664,-86.40061387,y,n,n,n,n,y
SANFORD TRANSPLANT CENTER,736 BROADWAY,FARGO,ND,58122,(701) 234-2411,GENERAL ACUTE CARE,CASS,46.884298,-96.788422,y,y,y,y,y,y
COMMUNITY HOSPITAL ONAGA LTCU,206 GRAND AVE,ST MARYS,KS,66536,NOT AVAILABLE,LONG TERM CARE,POTTAWATOMIE,39.18859027,-96.06110542,n,n,n,n,n,y
ALLEN COUNTY REGIONAL HOSPITAL,3066 NORTH KENTUCKY STREET,IOLA,KS,67701,NOT AVAILABLE,CRITICAL ACCESS,ALLEN,37.94879933,-95.39173385,y,y,y,y,y,y
ST. LUKE'S WOOD RIVER MEDICAL CENTER,100 HOSPITAL DRIVE,KETCHUM,ID,83340,(208) 727-8800,SPECIAL,BLAINE,43.64832025,-114.350021,y,y,y,y,y,y
NELL J. REDFIELD MEMORIAL HOSPITAL,150 NORTH 200 WEST,MALAD CITY,ID,83252,(208) 766-2231,GENERAL ACUTE CARE,ONEIDA,42.18941981,-112.2503325,y,y,y,y,y,y
COFFEY COUNTY HOSPITAL LTCU,128 S PEARSON AVE,WAVERLY,KS,66871,NOT AVAILABLE,LONG TERM CARE,COFFEY,38.38818202,-95.59962994,n,n,n,n,n,y
GRISELL MEMORIAL HOSPITAL LTCU,330 S VERMONT PO BOX 268,RANSOM,KS,67572,NOT AVAILABLE,LONG TERM CARE,NESS,38.63600977,-99.93124705,n,n,n,n,n,y
UNIVERSITY OF TEXAS MEDICAL BRANCH HOSPITAL,301 UNIVERSITY BOULEVARD,GALVESTON,TX,77550,NOT AVAILABLE,GENERAL ACUTE CARE,GALVESTON,29.31120096,-94.77715943,y,y,y,y,y,y
LAKE GRANBURY MEDICAL CENTER,1310 PALUXY ROAD,GREENVILLE,TX,76048,(817) 573-2273,GENERAL ACUTE CARE,HOOD,32.43248931,-97.8038485,y,y,y,y,y,y
LIMESTONE MEDICAL CENTER,701 MCCLINTIC DR.,HAMLIN,TX,76642,(254) 729-3281,CRITICAL ACCESS,LIMESTONE,31.53271119,-96.53121111,y,y,y,y,y,y
MARIAN CENTER,451 EAST BISHOP FEDERAL LANE,SALT LAKE CITY,UT,84115,(801) 487-7557,CRITICAL ACCESS,SALT LAKE,40.72827209,-111.8779698,y,y,y,y,y,y
CENTER FOR CHANGE,1790 NORTH STATE STREET,OREM,UT,84097,(801) 224-8255,PSYCHIATRIC,UTAH,40.32993455,-111.7084276,y,n,n,n,n,y
BLUE MOUNTAIN HOSPITAL,802 SOUTH 200 WEST,BLANDING,UT,84511,(435) 678-3993,CRITICAL ACCESS,SAN JUAN,37.61306643,-109.4824861,y,y,y,y,y,y
LDS HOSPITAL,324 8TH AVENUE,SALT LAKE CITY,UT,84143,(801) 408-1100,GENERAL ACUTE CARE,SALT LAKE,40.77822379,-111.8798219,y,y,y,y,y,y
CHEROKEE NATION W. W. HASTINGS HOSPITAL,100 SOUTH BLISS AVENUE,TAHLEQUAH,OK,74464,(918) 458-3100,CRITICAL ACCESS,CHEROKEE,35.91183147,-94.9505388,y,y,y,y,y,y
LAWTON HOSPITAL,1515 LAWRIE TATUM ROAD,LAWTON,OK,73507,(580) 354-5000,CRITICAL ACCESS,COMANCHE,34.62759832,-98.38424195,y,y,y,y,y,y
HOLLY HILL HOSPITAL,3019 FALSTAFF RD,RALEIGH,NC,27610,(919) 250-7000,PSYCHIATRIC,WAKE,35.78277375,-78.58392113,y,n,n,n,n,y
KIOWA DISTRICT HOSPITAL,1002 SOUTH 4TH STREET,KIOWA,KS,67070,NOT AVAILABLE,CRITICAL ACCESS,BARBER,37.00769961,-98.48857262,y,y,y,y,y,y
BARTLETT REGIONAL HOSPITAL,3260 HOSPITAL DRIVE,JUNEAU,AK,99801,(907) 796-8900,CRITICAL ACCESS,JUNEAU,58.32907951,-134.4651526,y,y,y,y,y,y
MEMORIAL HERMANN SOUTHWEST HOSPITAL,7600 BEECHNUT STREET,HOUSTON,TX,77074,(713) 456-5000,GENERAL ACUTE CARE,HARRIS,29.69271807,-95.52115311,y,y,y,y,y,y
MS BAND OF CHOCTAW HOSPITAL,210 HOSPITAL CIRCLE,CHOCTAW,MS,39350,(601) 656-2211,CRITICAL ACCESS,NESHOBA,32.7823732,-89.23075186,y,y,y,y,y,y
CHICKASAW NATION MEDICAL CENTER,1921 STONECIPHER BLVD.,ADA,OK,74820,(580) 436-3980,CRITICAL ACCESS,PONTOTOC,34.73116768,-96.64541977,y,y,y,y,y,y
ZUNI COMPREHENSIVE COMMUNITY HEALTH CENTER,ROUTE 301 NORTH “B” STREET,ZUNI,NM,87327,(505) 782-4431,CRITICAL ACCESS,MCKINLEY,35.08720767,-108.7911268,y,y,y,y,y,y
CYPRESS FAIRBANKS MEDICAL CENTER,10655 STEEPLETOP DRIVE,HOUSTON,TX,77065,(281) 949-3689,GENERAL ACUTE CARE,HARRIS,29.92712973,-95.58969896,y,y,y,y,y,y
CHOCTAW NATION INDIAN HOSPITAL (TALIHINA),ONE CHOCTAW WAY,TALIHINA,OK,74571,(918) 567-7000,CRITICAL ACCESS,LATIMER,34.75548842,-95.08413084,y,y,y,y,y,y
CLAREMORE HOSPITAL,101 S MOORE AVENUE (SOUTH MOORE & WILL ROGERS BLVD),CLAREMORE,OK,74017,(918) 342-6200,CRITICAL ACCESS,ROGERS,36.31610206,-95.6292859,y,y,y,y,y,y
ROSEBUD HOSPITAL,BIA ROUTE 1 SOLDER CREEK ROAD,ROSEBUD,SD,57570,(605) 747-2231,CRITICAL ACCESS,TODD,43.25674297,-100.8506097,y,y,y,y,y,y
PINE RIDGE HOSPITAL,HWY 18 EAST,PINE RIDGE,SD,57770,(605) 747-2231,CRITICAL ACCESS,SHANNON,43.02367851,-102.5412902,y,y,y,y,y,y
WINNEBAGO HOSPITAL,US HIGHWAY 77-75,WINNEBAGO,NE,68071,(402) 878-2231,CRITICAL ACCESS,THURSTON,42.2325136,-96.47063294,y,y,y,y,y,y
BLACKFEET COMMUNITY HOSPITAL,760 HOSPITAL CIRCLE,BROWNING,MT,59417,(406) 338-6230,CRITICAL ACCESS,GLACIER,48.5656912,-113.0197302,y,y,y,y,y,y
IRWIN ARMY COMMUNITY HOSPITAL,600 CAISSON HILL RD,FORT RILEY,KS,66442,NOT AVAILABLE,MILITARY,GEARY,39.07919232,-96.77244571,y,y,y,y,n,y
NAVAL HOSPITAL BEAUFORT,1 PINCKNEY BLVD,BEAUFORT,SC,29902,NOT AVAILABLE,MILITARY,BEAUFORT,32.3894647,-80.68227993,y,y,y,y,n,y
BASSETT ARMY COMMUNITY HOSPITAL,4076 NEELY RD,FORT WAINWRIGHT,AK,99703,(907) 361-5172,MILITARY,FAIRBANKS NORTH STAR,64.82970024,-147.6622292,y,y,y,y,n,y
NAVAL MEDICAL CENTER PORTSMOUTH,620 JOHN PAUL JONES CIRCLE,PORTSMOUTH,VA,23708,NOT AVAILABLE,MILITARY,PORTSMOUTH,36.84541393,-76.30576791,y,y,y,y,n,y
99TH MEDICAL GROUP - MIKE O'CALLAGHAN FEDERAL MEDICAL CENTER,4700 LAS VEGAS BLVD N,NELLIS AFB,NV,89191,NOT AVAILABLE,MILITARY,CLARK,36.24602701,-115.0492819,y,y,y,y,n,y
NAVAL HOSPITAL PENSACOLA,6000 WEST HIGHWAY 98,PENSACOLA,FL,32512,(850) 505-6601,MILITARY,ESCAMBIA,30.39856995,-87.29861569,y,y,y,y,n,y
88TH MEDICAL GROUP - WRIGHT-PATTERSON AIR FORCE BASE MEDICAL CENTER,4881 SUGAR MAPLE DR,WRIGHT PATTERSON AFB,OH,45433,NOT AVAILABLE,MILITARY,GREENE,39.80534785,-84.03740713,y,y,y,y,n,y
REYNOLDS ARMY COMMUNITY HOSPITAL,4301 WILSON ST,FORT SILL,OK,73503,NOT AVAILABLE,MILITARY,COMANCHE,34.6523867,-98.41460698,y,y,y,y,n,y
FORT BELVOIR COMMUNITY HOSPITAL,9300 DEWITT LOOP,FORT BELVOIR,VA,22060,NOT AVAILABLE,MILITARY,FAIRFAX,38.70560252,-77.14368028,y,y,y,y,n,y
MONCRIEF ARMY COMMUNITY HOSPITAL,4500 STUART ST,FORT JACKSON,SC,29206,NOT AVAILABLE,MILITARY,RICHLAND,34.01192613,-80.93778994,y,y,y,y,n,y
FORT LEONARD WOOD ARMY COMMUNITY HOSPITAL,126 MISSOURI AVE,FORT LEONARD WOOD,MO,65473,(573) 596-0035,MILITARY,PULASKI,37.76616456,-92.11483258,y,y,y,y,n,y
STRATEGIC BEHAVIORAL CENTER GARNER,3200 WATERFIELD ROAD,GARNER,NC,27529,(919) 800-4400,PSYCHIATRIC,WAKE,35.67803419,-78.56140828,y,n,n,n,n,y
KINDRED HOSPITAL - TARRANT COUNTY,1000 NORTH COOPER STREET,ARLINGTON,TX,76011,(817) 548-3400,LONG TERM CARE,TARRANT,32.75055987,-97.11406781,n,n,n,n,n,y
ALASKA VA HEALTHCARE SYSTEM,1201 N MULDOON RD,ANCHORAGE,AK,99504,(907) 257-4700,MILITARY,ANCHORAGE,61.23278802,-149.7445305,y,y,y,y,n,y
VA MEDICAL CENTER - NEWINGTON CAMPUS,555 WILLARD AVE,NEWINGTON,CT,6111,NOT AVAILABLE,MILITARY,HARTFORD,41.70168559,-72.74061649,y,y,y,y,n,y
JAMES A. HALEY VETERANS' HOSPITAL PRIMARY CARE ANNEX,13515 LAKE TERRACE LANE,TAMPA,FL,33637,(813) 998-8000,MILITARY,HILLSBOROUGH,28.07039609,-82.35733765,y,y,y,y,n,y
VA MEDICAL CENTER - FORT WAYNE CAMPUS,2121 LAKE AVE,FORT WAYNE,IN,46805,(260) 426-5431,MILITARY,ALLEN,41.09078646,-85.10951788,y,y,y,y,n,y
ROBERT J. DOLE VA MEDICAL CENTER,5500 E KELLOGG AVE,WICHITA,KS,67218,(316) 685-2221,MILITARY,SEDGWICK,37.6812338,-97.27464126,y,y,y,y,n,y
RICHARD L. ROUDEBUSH VA MEDICAL CENTER,1481 W 10TH ST,INDIANAPOLIS,IN,46202,NOT AVAILABLE,MILITARY,MARION,39.77846306,-86.18716442,y,y,y,y,n,y
VA MEDICAL CENTER - MARION IN,1700 E 38TH ST,MARION,IN,46953,(765) 674-3321,MILITARY,GRANT,40.5204615,-85.63826841,y,y,y,y,n,y
VA MEDICAL CENTER - BROCKTON DIVISION,940 BELMONT ST,BROCKTON,MA,2401,NOT AVAILABLE,MILITARY,PLYMOUTH,42.06302243,-71.05393559,y,y,y,y,n,y
VA CENTRAL WESTERN MASSACHUSETTS HEALTHCARE SYSTEM,421 N MAIN ST,NORTHAMPTON,MA,1062,NOT AVAILABLE,MILITARY,HAMPSHIRE,42.34953083,-72.68244039,y,y,y,y,n,y
VA MEDICAL CENTER - WEST ROXBURY DIVISION,1400 VFW PKY,WEST ROXBURY,MA,2132,NOT AVAILABLE,MILITARY,SUFFOLK,42.2746273,-71.17169802,y,y,y,y,n,y
CAPTAIN JAMES A. LOVELL FEDERAL HEALTH CARE CENTER,3001 GREEN BAY RD,NORTH CHICAGO,IL,60064,(847) 688-1900,MILITARY,LAKE,42.30704823,-87.86051071,y,y,y,y,n,y
UNC HOSPITALS AT WAKEBROOK,111 SUNNYBROOK ROAD,RALEIGH,NC,27610,NOT AVAILABLE,PSYCHIATRIC,WAKE,35.78289748,-78.58179865,y,n,n,n,n,y
COLMERY-O'NEIL VA MEDICAL CENTER,2200 SW GAGE BLVD,TOPEKA,KS,66622,(785) 350-3111,MILITARY,SHAWNEE,39.02623218,-95.72279545,y,y,y,y,n,y
DWIGHT D. EISENHOWER VA MEDICAL CENTER,4101 4TH ST TRAFFICWAY,LEAVENWORTH,KS,66048,(913) 682-2000,MILITARY,LEAVENWORTH,39.27939624,-94.89383569,y,y,y,y,n,y
SAINT JOSEPHS HOSPITAL AND MEDICAL CENTER,703 MAIN STREET,PATERSON,NJ,7503,(973) 754-2010,GENERAL ACUTE CARE,PASSAIC,40.90283445,-74.16570442,y,y,y,y,y,y
KINDRED HOSPITAL HOUSTON MEDICAL CENTER,6441 MAIN STREET,HOUSTON,TX,77030,(713) 790-0500,LONG TERM CARE,HARRIS,29.71285043,-95.39917023,n,n,n,n,n,y
LAMB HEALTHCARE CENTER,1500 SOUTH SUNSET AVENUE,LITTLEFIELD,TX,79339,(806) 385-6411,GENERAL ACUTE CARE,LAMB,33.91170687,-102.3442949,y,y,y,y,y,y
BAYSHORE MEDICAL CENTER,727 NORTH BEERS STREET,HOLMDEL,NJ,7733,(732) 739-5900,GENERAL ACUTE CARE,MONMOUTH,40.40516141,-74.19168432,y,y,y,y,y,y
VA MEDICAL CENTER - KANSAS CITY,4801 LINWOOD BLVD,KANSAS CITY,MO,64128,(816) 861-4700,MILITARY,JACKSON,39.0640641,-94.5264144,y,y,y,y,n,y
VA MEDICAL CENTER - MANCHESTER,718 SMYTH RD,MANCHESTER,NH,3104,NOT AVAILABLE,MILITARY,HILLSBOROUGH,43.01235803,-71.44086704,y,y,y,y,n,y
RAYMOND G. MURPHY VA MEDICAL CENTER,1501 SAN PEDRO SE,ALBUQUERQUE,NM,87108,NOT AVAILABLE,MILITARY,BERNALILLO,35.05516799,-106.5817674,y,y,y,y,n,y
VA MEDICAL CENTER - LYONS CAMPUS,151 KNOLLCROFT RD,LYONS,NJ,7939,(908) 647-0180,MILITARY,SOMERSET,40.66859853,-74.5575506,y,y,y,y,n,y
VA MEDICAL CENTER - OMAHA,4101 WOOLWORTH AVE,OMAHA,NE,68105,(800) 451-5796,MILITARY,DOUGLAS,41.24253129,-95.9743765,y,y,y,y,n,y
HUDSON REGIONAL HOSPITAL,55 MEADOWLANDS PARKWAY,SECAUCUS,NJ,7094,(201) 392-3100,GENERAL ACUTE CARE,HUDSON,40.79183031,-74.07323651,y,y,y,y,y,y
ALEDA E. LUTZ VA MEDICAL CENTER,1500 WEISS ST,SAGINAW,MI,48602,(989) 497-2500,MILITARY,SAGINAW,43.44479571,-83.96202358,y,y,y,y,n,y
G.V. (SONNY) MONTGOMERY VA MEDICAL CENTER,1500 E WOODROW WILSON DR,JACKSON,MS,39216,(601) 362-4471,MILITARY,HINDS,32.32789016,-90.16732631,y,y,y,y,n,y
JOHN BROOKS RECOVERY CENTER - RESIDENT DRUG TREATMENT (WOMEN),20 SOUTH TENNESSEE AVENUE,ATLANTIC CITY,NJ,8401,(609) 345-2433,SPECIAL,ATLANTIC,39.36130275,-74.42779704,y,y,y,y,y,y
VA MEDICAL CENTER - FORT MEADE CAMPUS,113 COMANCHE RD,FORT MEADE,SD,57741,NOT AVAILABLE,MILITARY,MEADE,44.41267726,-103.4718151,y,y,y,y,n,y
VA CARIBBEAN HEALTHCARE SYSTEM,10 CASIA ST,SAN JUAN,PR,921,NOT AVAILABLE,MILITARY,SAN JUAN,18.39039414,-66.07933548,y,y,y,y,n,y
