name,address,city,state,zip,telephone,type,county,lattitude,longitude,emergency,vaccination,dental,vision,pediatric,preventative
VA MEDICAL CENTER - WHITE RIVER JUNCTION,163 VETERANS DR,WHITE RIVER JUNCTION,VT,5009,NOT AVAILABLE,MILITARY,WINDSOR,43.64849322,-72.34253657,y,y,y,y,n,y
CHALMERS P. WYLIE VA AMBULATORY CARE CENTER,420 N JAMES RD,COLUMBUS,OH,43219,(614) 257-5200,MILITARY,FRANKLIN,39.9808247,-82.90958494,y,y,y,y,n,y
GULF COAST VETERANS HEALTH CARE SYSTEM,400 VETERANS AVE,BILOXI,MS,39531,(228) 523-5000,MILITARY,HARRISON,30.41511432,-88.94195402,y,y,y,y,n,y
VA MEDICAL CENTER AND AMBULATORY CARE CLINIC,3687 VETERANS DR,FORT HARRISON,MT,59636,(877) 468-8387,MILITARY,LEWIS AND CLARK,46.61866261,-112.1017865,y,y,y,y,n,y
MAYO CLINIC HOSPITAL METHODIST CAMPUS,201 WEST CENTER ST,ROCHESTER,MN,55902,(507) 284-2511,GENERAL ACUTE CARE,OLMSTED,44.02395962,-92.46583322,y,y,y,y,y,y
ESSENTIA HEALTH VIRGINIA,901 9TH ST N,VIRGINIA,MN,55792,(218) 741-3340,GENERAL ACUTE CARE,ST. LOUIS,47.53186339,-92.5485476,y,y,y,y,y,y
SHAWNEE MISSION PRAIRIE STAR,23401 PRAIRIE STAR PKWY,LENEXA,KS,66227,(913) 676-8630,GENERAL ACUTE CARE,JOHNSON,38.95564679,-94.85686876,y,y,y,y,y,y
EDWARD PLAINFIELD,24600 W 127TH ST,PLAINFIELD,IL,60585,(630) 527-3000,GENERAL ACUTE CARE,WILL,41.65282059,-88.21737981,y,y,y,y,y,y
BEATRICE COMMUNITY HOSPITAL,4800 HOSPITAL PKWY,BEATRICE,NE,68310,(402) 228-3344,CRITICAL ACCESS,GAGE,40.31614637,-96.74972061,y,y,y,y,y,y
VIA CHRISTI HOSPITAL ST. JOSEPH,3600 E HARRY ST,WICHITA,KS,67218,(316) 685-1111,GENERAL ACUTE CARE,SEDGWICK,37.66615812,-97.29259655,y,y,y,y,y,y
ST. ROSE DOMINICAN HOSPITALS - SAN MARTIN CAMPUS,8280 WEST WARM SPRINGS ROAD,LAS VEGAS,NV,89113,(702) 492-8509,GENERAL ACUTE CARE,CLARK,36.05733944,-115.27202,y,y,y,y,y,y
HUNTER HOLMES MCGUIRE VA MEDICAL CENTER,1201 BROAD ROCK BLVD,RICHMOND,VA,23225,(804) 675-5000,MILITARY,RICHMOND CITY,37.49807429,-77.46768488,y,y,y,y,n,y
VA MEDICAL CENTER - CHEYENNE,2360 E PERSHING BLVD,CHEYENNE,WY,82001,(307) 778-7550,MILITARY,LARAMIE,41.14828213,-104.7855322,y,y,y,y,n,y
GEORGE E. WAHLEN DEPARTMENT OF VETERANS AFFAIRS MEDICAL CENTER,500 FOOTHILL DR,SALT LAKE CITY,UT,84148,(801) 582-1565,MILITARY,SALT LAKE,40.75739725,-111.840554,y,y,y,y,n,y
VA MEDICAL CENTER - VANCOUVER CAMPUS,1601 E 4TH PLAIN BLVD,VANCOUVER,WA,98661,(360) 696-4061,MILITARY,CLARK,45.63663819,-122.6572493,y,y,y,y,n,y
PARSONS STATE HOSPITAL,2601 GABRIEL AVENUE,PARSONS,KS,67357,(620) 820-5271,GENERAL ACUTE CARE,LABETTE,37.35126304,-95.28054226,y,y,y,y,y,y
CINCINNATI CHILDREN'S LIBERTY,7777 YANKEE RD,MIDDLETOWN,OH,45044,(513) 636-4200,CHILDREN,BUTLER,39.37657725,-84.36794409,y,y,y,y,y,n
SAINT FRANCIS HOSPITAL MEMPHIS,5959 PARK AVE,MEMPHIS,TN,38119,(901) 765-1000,GENERAL ACUTE CARE,SHELBY,35.09820503,-89.86487519,y,y,y,y,y,y
MERIT HEALTH MADISON,161 RIVER OAKS DR,CANTON,MS,39046,(601) 855-4000,GENERAL ACUTE CARE,MADISON,32.58137191,-90.08319563,y,y,y,y,y,y
OU MEDICAL CENTER EDMOND-ER,1 S BRYANT AVE,EDMOND,OK,73034,(405) 359-5561,GENERAL ACUTE CARE,OKLAHOMA,35.65465832,-97.4615103,y,y,y,y,y,y
NORMAN REGIONAL HEALTHPLEX,3300 HEALTHPLEX PKWY,NORMAN,OK,73072,(405) 515-1000,GENERAL ACUTE CARE,CLEVELAND,35.25959361,-97.48953346,y,y,y,y,y,y
PLUM CREEK SPECIALTY HOSPITAL,5601 PLUM CREEK DRIVE,AMARILLO,TX,79124,(806) 351-1000,LONG TERM CARE,POTTER,35.218499,-101.9022048,n,n,n,n,n,y
IU HEALTH UNIVERSITY HOSPITAL,550 UNIVERSITY BLVD,INDIANAPOLIS,IN,46202,(317) 274-5000,GENERAL ACUTE CARE,MARION,39.77528333,-86.17656162,y,y,y,y,y,y
RILEY HOSPITAL FOR CHILDREN,705 RILEY HOSPITAL DR,INDIANAPOLIS,IN,46202,(317) 944-5000,CHILDREN,MARION,39.77710774,-86.18027646,y,y,y,y,y,n
MT CARMEL EAST HOSPITAL,6001 E BROAD ST,COLUMBUS,OH,43213,(614) 234-6000,GENERAL ACUTE CARE,FRANKLIN,39.97691933,-82.84330783,y,y,y,y,y,y
SOUTHVIEW HOSPITAL,1997 MIAMISBURG CENTERVILLE RD,DAYTON,OH,45459,(937) 439-6000,GENERAL ACUTE CARE,MONTGOMERY,39.63539661,-84.20342017,y,y,y,y,y,y
TRINITY MEDICAL CENTER WEST-ER,4000 JOHNSON RD,STEUBENVILLE,OH,43952,(740) 264-8360,GENERAL ACUTE CARE,JEFFERSON,40.36777411,-80.6590339,y,y,y,y,y,y
AKRON CHILDREN'S HOSP BEEGHLY,6505 MARKET ST,BOARDMAN,OH,44512,(330) 543-8290,CHILDREN,MAHONING,41.03255484,-80.66048104,y,y,y,y,y,n
VIBRA HOSPITAL OF AMARILLO,7501 WALLACE BLVD,AMARILLO,TX,79106,(806) 468-2900,LONG TERM CARE,POTTER,35.194149,-101.9266926,n,n,n,n,n,y
BETHESDA ARROW SPRINGS-ER,100 ARROW SPRINGS BLVD,LEBANON,OH,45036,(513) 282-7000,GENERAL ACUTE CARE,WARREN,39.39522296,-84.20942755,y,y,y,y,y,y
METHODIST HOSPITAL-SOUTHLAKE,8701 BROADWAY,MERRILLVILLE,IN,46410,(219) 738-5500,GENERAL ACUTE CARE,LAKE,41.45837283,-87.3329309,y,y,y,y,y,y
WARD MEMORIAL HOSPITAL,406 SOUTH GARY STREET,MONAHANS,TX,79756,(432) 943-2511,CRITICAL ACCESS,WARD,31.59378429,-102.8831868,y,y,y,y,y,y
CONTINUECARE HOSPITAL AT HENDRICK MEDICAL CENTER,1900 PINE7TH FLOOR,ABILENE,TX,79601,(325) 670-5151,LONG TERM CARE,TAYLOR,32.47234716,-99.73327938,n,n,n,n,n,y
TEXAS NEUROREHAB CENTER,1106 WEST DITTMAR ROADBUILDING 9,AUSTIN,TX,78745,(512) 444-4835,LONG TERM CARE,TRAVIS,30.18930118,-97.80737637,n,n,n,n,n,y
CORNERSTONE HOSPITAL OF AUSTIN,4207 BURNET ROAD,AUSTIN,TX,78756,(512) 706-1900,LONG TERM CARE,TRAVIS,30.31182625,-97.7432915,n,n,n,n,n,y
CHRISTUS DUBUIS HOSPITAL OF BEAUMONT,2830 CALDER AVENUE4TH FLOOR,BEAUMONT,TX,77702,(409) 899-7680,LONG TERM CARE,JEFFERSON,30.08725677,-94.13292786,n,n,n,n,n,y
CHRISTUS DUBUIS HOSPITAL OF BEAUMONT SOUTH,860 SOUTH 8TH STREET,BEAUMONT,TX,77701,(409) 236-8700,LONG TERM CARE,JEFFERSON,30.06953533,-94.12531493,n,n,n,n,n,y
SELECT SPECIALTY HOSPITAL - DALLAS,2329 PARKER ROAD,CARROLLTON,TX,75010,(469) 892-1400,LONG TERM CARE,DALLAS,33.04566135,-96.86485975,n,n,n,n,n,y
OVERLOOK MEDICAL CENTER,1000 GALLOPING HILL RD,UNION,NJ,7083,(908) 522-6300,GENERAL ACUTE CARE,UNION,40.67481574,-74.26565452,y,y,y,y,y,y
KINDRED HOSPITAL EAST HOUSTON,15101 EAST FREEWAY,CHANNELVIEW,TX,77530,NOT AVAILABLE,LONG TERM CARE,HARRIS,29.77455376,-95.14465578,n,n,n,n,n,y
CORNERSTONE HOSPITAL CONROE,1500 GRAND LAKE DRIVE,CONROE,TX,76208,(936) 523-1800,LONG TERM CARE,MONTGOMERY,30.28203591,-95.46559063,n,n,n,n,n,y
ATRIUM MEDICAL CENTER AT CORINTH,3305 CORINTH PARKWAY,CORINTH,TX,78465,NOT AVAILABLE,LONG TERM CARE,DENTON,33.15366153,-97.05667447,n,n,n,n,n,y
SAINT ALPHONSUS EAGLE HEALTH PLZ-ER,323 E RIVERSIDE DR,EAGLE,ID,83616,(208) 367-5355,GENERAL ACUTE CARE,ADA,43.6889546,-116.3506934,y,y,y,y,y,y
OLYMPIC MEDICAL CENTER,939 CAROLINE ST,PORT ANGELES,WA,98362,(360) 417-7000,GENERAL ACUTE CARE,CLALLAM,48.08955335,-123.1111959,y,y,y,y,y,y
EAST TEXAS MEDICAL CENTER - QUITMAN,117 WINNSBORO STREET,QUITMAN,TX,75783,(903) 763-6330,CRITICAL ACCESS,WOOD,32.79706946,-95.44291819,y,y,y,y,y,y
HARDEMAN COUNTY MEMORIAL HOSPITAL,402 MERCER STREET,QUANAH,TX,79252,(940) 663-2795,CRITICAL ACCESS,HARDEMAN,34.29619436,-99.74154846,y,y,y,y,y,y
ROUND ROCK MEDICAL CENTER,2400 ROUND ROCK AVENUE,ROUND ROCK,TX,78681,(512) 341-1000,GENERAL ACUTE CARE,WILLIAMSON,30.51110777,-97.7136084,y,y,y,y,y,y
TEXAS HEALTH PRESBYTERIAN HOSPITAL ROCKWALL,3150 HORIZON ROAD,ROCKWALL,TX,75032,(469) 698-1000,GENERAL ACUTE CARE,ROCKWALL,32.8842895,-96.46622551,y,y,y,y,y,y
PAM SPECIALTY HOSPITAL OF CORPUS CHRISTI NORTH,600 ELIZABETH STREETTHIRD FLOOR,CORPUS CHRISTI,TX,78413,(361) 881-3223,LONG TERM CARE,NUECES,27.77782005,-97.39474791,n,n,n,n,n,y
TEXAS CENTER FOR INFECTIOUS DISEASE,2303 SOUTHEAST MILITARY DRIVE,SAN ANTONIO,TX,78223,NOT AVAILABLE,GENERAL ACUTE CARE,BEXAR,29.35410452,-98.4567103,y,y,y,y,y,y
BAYLOR SPECIALTY HOSPITAL,3504 SWISS AVENUE,DALLAS,TX,75204,NOT AVAILABLE,LONG TERM CARE,DALLAS,32.79182316,-96.78160751,n,n,n,n,n,y
LIFECARE HOSPITALS OF DALLAS,1950 RECORD CROSSING ROAD,DALLAS,TX,75235,(214) 640-9673,LONG TERM CARE,DALLAS,32.81724044,-96.84885029,n,n,n,n,n,y
KINDRED HOSPITAL DALLAS CENTRAL,8050 MEADOW ROADFIRST FLOOR,DALLAS,TX,75231,(469) 232-6500,LONG TERM CARE,DALLAS,32.8868949,-96.76738833,n,n,n,n,n,y
INTEGRITY TRANSITIONAL HOSPITAL,2813 SOUTH MAYHILL ROAD,DENTON,TX,76208,(940) 320-2300,LONG TERM CARE,DENTON,33.17439097,-97.08712045,n,n,n,n,n,y
MESA HILL SPECIALTY HOSPITAL,2311 NORTH OREGON STREET,EL PASO,TX,79902,(915) 545-1823,LONG TERM CARE,EL PASO,31.77347373,-106.5022513,n,n,n,n,n,y
MEMORIAL HOSPITAL,209 NORTHWEST 8TH STREET,SEMINOLE,TX,79360,(432) 758-5811,CRITICAL ACCESS,GAINES,32.72162797,-102.6548789,y,y,y,y,y,y
SHAMROCK GENERAL HOSPITAL,1000 SOUTH MAIN STREET,SHAMROCK,TX,79079,(806) 256-2114,CRITICAL ACCESS,WHEELER,35.1989674,-100.2481194,y,y,y,y,y,y
KINDRED HOSPITAL EL PASO,1740 CURIE DRIVE,EL PASO,TX,79902,(915) 351-9044,LONG TERM CARE,EL PASO,31.77862724,-106.4772989,n,n,n,n,n,y
EL PASO LTAC HOSPITAL,1221 NORTH COTTONTHIRD FLOOR,EL PASO,TX,79902,(915) 546-5822,LONG TERM CARE,EL PASO,31.78368543,-106.4743254,n,n,n,n,n,y
LIFECARE HOSPITALS OF FORT WORTH,6201 OVERTON RIDGE BOULEVARD,FORT WORTH,TX,76132,(817) 370-6078,LONG TERM CARE,TARRANT,32.67905415,-97.42120446,n,n,n,n,n,y
TEXAS HEALTH SPECIALTY HOSPITAL FORT WORTH,1301 PENNSYLVANIA AVENUE4TH FLOOR,FORT WORTH,TX,76104,(817) 250-5500,LONG TERM CARE,TARRANT,32.73670911,-97.33988601,n,n,n,n,n,y
KINDRED HOSPITAL - TARRANT COUNTY - FORT WORTH SOUTHWEST,7800 OAKMONT BOULEVARD,FORT WORTH,TX,76132,(817) 346-0094,LONG TERM CARE,TARRANT,32.665697,-97.42370538,n,n,n,n,n,y
KINDRED HOSPITAL - FORT WORTH,815 EIGHTH AVENUE,FORT WORTH,TX,76104,(817) 332-4812,LONG TERM CARE,TARRANT,32.73577378,-97.34335383,n,n,n,n,n,y
REGENCY HOSPITAL OF FORT WORTH,6801 OAKMONT BOULEVARD,FORT WORTH,TX,76132,NOT AVAILABLE,LONG TERM CARE,TARRANT,32.66203254,-97.41423269,n,n,n,n,n,y
HANSFORD COUNTY HOSPITAL,707 SOUTH ROLAND STREET,SPEARMAN,TX,79081,(806) 659-2535,GENERAL ACUTE CARE,HANSFORD,36.19027677,-101.1996141,y,y,y,y,y,y
BAYLOR SCOTT & WHITE SURGICAL HOSPITAL AT SHERMAN,3601 NORTH CALAIS STREET,SHERMAN,TX,75090,(903) 813-9999,GENERAL ACUTE CARE,GRAYSON,33.67663535,-96.60185221,y,y,y,y,y,y
BAYLOR SCOTT & WHITE HOSPITAL - TAYLOR,305 MALLARD LANE,TAYLOR,TX,76574,(512) 352-7611,CRITICAL ACCESS,WILLIAMSON,30.59094376,-97.41538166,y,y,y,y,y,y
CHRISTUS MOTHER FRANCES HOSPITAL - SULPHUR SPRINGS,115 AIRPORT ROAD,SULPHUR SPRINGS,TX,75483,(903) 439-4052,GENERAL ACUTE CARE,HOPKINS,33.15762802,-95.60014471,y,y,y,y,y,y
ROLLING PLAINS MEMORIAL HOSPITAL,200 EAST ARIZONA AVENUE,SWEETWATER,TX,79556,(325) 235-1701,GENERAL ACUTE CARE,NOLAN,32.45321238,-100.3973167,y,y,y,y,y,y
SOLARA HOSPITAL HARLINGEN,508 VICTORIA LANE,HARLINGEN,TX,78550,(956) 425-9600,LONG TERM CARE,CAMERON,26.15982657,-97.67274526,n,n,n,n,n,y
UNIVERSITY OF TEXAS HEALTH CENTER - TYLER,11937 HIGHWAY 271 NORTH,TYLER,TX,75708,NOT AVAILABLE,GENERAL ACUTE CARE,SMITH,32.42595009,-95.21342841,y,y,y,y,y,y
KINDRED HOSPITAL HOUSTON NORTHWEST,11297 FALLBROOK DRIVE,HOUSTON,TX,77065,(281) 517-1000,LONG TERM CARE,HARRIS,29.92440962,-95.58824613,n,n,n,n,n,y
PINE VALLEY SPECIALTY HOSPITAL,6160 SOUTH LOOP EAST,HOUSTON,TX,77087,(713) 640-2400,LONG TERM CARE,HARRIS,29.69473891,-95.31759658,n,n,n,n,n,y
PLAZA SPECIALTY HOSPITAL,1300 BINZ STREET,HOUSTON,TX,77004,(713) 285-1000,LONG TERM CARE,HARRIS,29.72323923,-95.38702269,n,n,n,n,n,y
ICON HOSPITAL,19211 MCKAY DRIVE,HUMBLE,TX,77338,(281) 883-5500,LONG TERM CARE,HARRIS,29.99867547,-95.27622266,n,n,n,n,n,y
HOUSTON METHODIST ST. CATHERINE HOSPITAL,701 SOUTH FRY,KATY,TX,77450,(281) 599-5700,LONG TERM CARE,HARRIS,29.77679705,-95.71684416,n,n,n,n,n,y
HILLCREST BAPTIST MEDICAL CENTER,3000 HERRING AVENUE,WACO,TX,76708,NOT AVAILABLE,GENERAL ACUTE CARE,MCLENNAN,31.55876112,-97.17473376,y,y,y,y,y,y
LAREDO SPECIALTY HOSPITAL,2005 BUSTAMANTE STREET,LAREDO,TX,78041,(956) 753-5353,LONG TERM CARE,WEBB,27.53352938,-99.47363697,n,n,n,n,n,y
COVENANT SPECIALTY HOSPITAL,3815 20TH STREET,LUBBOCK,TX,79410,(806) 725-9200,LONG TERM CARE,LUBBOCK,33.5766576,-101.8970615,n,n,n,n,n,y
CHI ST LUKES HEALTH MEMORIAL SPECIALTY HOSPITAL,1201 WEST FRANK AVENUESUITE 5D,LUFKIN,TX,75904,(936) 639-7975,LONG TERM CARE,ANGELINA,31.33628998,-94.74084706,n,n,n,n,n,y
PAM SPECIALTY HOSPITAL OF LULING,200 MEMORIAL DRIVE,LULING,TX,78648,(830) 875-8400,LONG TERM CARE,CALDWELL,29.67408592,-97.6550844,n,n,n,n,n,y
KINDRED HOSPITAL - MANSFIELD,1802 HIGHWAY 157 NORTH,MANSFIELD,TX,76063,(817) 473-6101,LONG TERM CARE,TARRANT,32.59903863,-97.14435357,n,n,n,n,n,y
SOLARA HOSPITAL MCALLEN,301 WEST EXPRESSWAY 838TH FLOOR,MCALLEN,TX,78503,(956) 632-4880,LONG TERM CARE,HIDALGO,26.18672847,-98.22582022,n,n,n,n,n,y
MESQUITE SPECIALTY HOSPITAL,1024 NORTH GALLOWAY AVENUE,MESQUITE,TX,75149,(972) 216-2300,LONG TERM CARE,DALLAS,32.77813391,-96.5986591,n,n,n,n,n,y
UNITED REGIONAL HEALTH CARE SYSTEM,1600 11TH STREET,WICHITA FALLS,TX,76301,(940) 764-7000,GENERAL ACUTE CARE,WICHITA,33.90243058,-98.50198079,y,y,y,y,y,y
ALLEGIANCE HEALTH CENTER PERMIAN BASIN,207 TRADEWINDS BOULEVARD,MIDLAND,TX,79706,(432) 699-3215,LONG TERM CARE,MIDLAND,31.98171367,-102.154371,n,n,n,n,n,y
PAM SPECIALITY HOSPITAL OF NEW BRAUNFELS,1445 HANZ DRIVE,NEW BRAUNFELS,TX,78130,(830) 627-7600,LONG TERM CARE,COMAL,29.72926937,-98.10274189,n,n,n,n,n,y
MID-JEFFERSON EXTENDED CARE HOSPITAL,2600 HIGHWAY 365,NEDERLAND,TX,77627,(409) 726-8700,LONG TERM CARE,JEFFERSON,29.95559858,-93.98687658,n,n,n,n,n,y
DUBUIS HOSPITAL OF PARIS,820 CLARKSVILLE STREET,PARIS,TX,75460,(903) 737-3600,LONG TERM CARE,LAMAR,33.68784764,-95.54823349,n,n,n,n,n,y
KINDRED HOSPITAL BAY AREA,4801 EAST SAM HOUSTON PARKWAY SOUTH,PASADENA,TX,77505,(281) 991-5463,LONG TERM CARE,HARRIS,29.63733556,-95.16043245,n,n,n,n,n,y
PLANO SPECIALTY HOSPITAL,1621 COIT ROAD,PLANO,TX,75075,(972) 758-5200,LONG TERM CARE,COLLIN,33.02123751,-96.76907374,n,n,n,n,n,y
LIFECARE HOSPITALS OF PLANO,6800 PRESTON ROAD,PLANO,TX,75024,(214) 473-8822,LONG TERM CARE,COLLIN,33.06549105,-96.79511498,n,n,n,n,n,y
KINDRED HOSPITAL - SAN ANTONIO,3636 MEDICAL DRIVE,SAN ANTONIO,TX,78229,(210) 616-0616,LONG TERM CARE,BEXAR,29.52248579,-98.55637881,n,n,n,n,n,y
KINDRED HOSPITAL - SAN ANTONIO CENTRAL,111 DALLAS STREET4TH FLOOR,SAN ANTONIO,TX,78205,(210) 297-7195,LONG TERM CARE,BEXAR,29.43297807,-98.49220974,n,n,n,n,n,y
NEXUS SPECIALTY HOSPITAL-SHENANDOAH CAMPUS,123 VISION PARK DRIVE,SHENANDOAH,TX,77384,(281) 364-0317,LONG TERM CARE,MONTGOMERY,30.18874977,-95.46018014,n,n,n,n,n,y
CARRUS SPECIALTY HOSPITAL,1810 U.S. HIGHWAY 82 WESTSTE 200,SHERMAN,TX,75092,(903) 870-2600,LONG TERM CARE,GRAYSON,33.66972557,-96.63438619,n,n,n,n,n,y
KINDRED HOSPITAL SUGAR LAND,1550 FIRST COLONY BOULEVARD,SUGAR LAND,TX,77479,(281) 275-6000,LONG TERM CARE,FORT BEND,29.60023248,-95.63826118,n,n,n,n,n,y
ATRIUM MEDICAL CENTER,11929  WEST AIRPORT BOULEVARD,STAFFORD,TX,77477,(281) 207-8200,LONG TERM CARE,FORT BEND,29.64684751,-95.58827701,n,n,n,n,n,y
EAST TEXAS MEDICAL CENTER SPECIALTY HOSPITAL,1000 SOUTH BECKHAM AVENUE5TH FLOOR,TYLER,TX,75711,(903) 596-3004,LONG TERM CARE,SMITH,32.33835568,-95.29103688,n,n,n,n,n,y
TYLER CONTINUE CARE HOSPITAL,800 EAST DAWSON4TH FLOOR,TYLER,TX,75701,(903) 531-4943,LONG TERM CARE,SMITH,32.34262743,-95.29085002,n,n,n,n,n,y
PAM SPECIALTY HOSPITAL OF VICTORIA SOUTH,506 EAST SAN ANTONIO STREET3RD FL,VICTORIA,TX,77901,(361) 575-1445,LONG TERM CARE,VICTORIA,28.80798268,-96.99883805,n,n,n,n,n,y
PAM SPECIALTY HOSPITAL OF VICTORIA NORTH,102 MEDICAL DRIVE,VICTORIA,TX,77904,(361) 576-6200,LONG TERM CARE,VICTORIA,28.85499709,-97.02196107,n,n,n,n,n,y
CORNERSTONE HOSPITAL OF HOUSTON - CLEAR LAKE,709 MEDICAL CENTER BOULEVARD,WEBSTER,TX,77598,(281) 332-3322,LONG TERM CARE,HARRIS,29.5374055,-95.12982931,n,n,n,n,n,y
WILLIAM P. CLEMENTS JR. UNIVERSITY HOSPITAL,6161 HARRY HINES BOULEVARDSUITE 100,DALLAS,TX,75235,(214) 633-5555,LONG TERM CARE,DALLAS,32.81896722,-96.84883749,n,n,n,n,n,y
PROMISE HOSPITAL OF DALLAS,7955 HARRY HINES BOULEVARD,DALLAS,TX,75235,(214) 637-0000,LONG TERM CARE,DALLAS,32.83258117,-96.86203847,n,n,n,n,n,y
KINDRED HOSPITAL - WHITE ROCK,9440 POPPY DRIVE5TH FLOOR SOUTH,DALLAS,TX,75218,(214) 324-6730,LONG TERM CARE,DALLAS,32.83448662,-96.70583767,n,n,n,n,n,y
EL PASO CHILDREN'S HOSPITAL,4845 ALAMEDA AVENUE,EL PASO,TX,79905,(915) 242-8600,CHILDREN,EL PASO,31.7715012,-106.433795,y,y,y,y,y,n
METHODIST SOUTHLAKE HOSPITAL,421 EAST HIGHWAY 114,SOUTHLAKE,TX,76092,(817) 865-4400,GENERAL ACUTE CARE,TARRANT,32.9571804,-97.14523798,y,y,y,y,y,y
CONTINUECARE HOSPITAL OF MIDLAND,4214 ANDREWS HIGHWAYSUITE 320,MIDLAND,TX,79703,(432) 221-1111,LONG TERM CARE,MIDLAND,32.00436321,-102.1350549,n,n,n,n,n,y
CORNERSTONE HOSPITAL - MEDICAL CENTER,2001 HERMANN DRIVESUITE 100,HOUSTON,TX,77004,(832) 649-6200,LONG TERM CARE,HARRIS,29.7186698,-95.38250516,n,n,n,n,n,y
KINDRED HOSPITAL NORTH HOUSTON,7407 NORTH FREEWAY,HOUSTON,TX,77076,NOT AVAILABLE,LONG TERM CARE,HARRIS,29.86738019,-95.40800378,n,n,n,n,n,y
BAYLOR SCOTT & WHITE CONTINUING CARE HOSPITAL,546 KEGLEY ROAD,TEMPLE,TX,76502,(254) 215-0900,LONG TERM CARE,BELL,31.11828493,-97.39929271,n,n,n,n,n,y
VIBRA SPECIALTY HOSPITAL,2700 WALKER WAY,DE SOTO,TX,75115,(972) 298-1100,LONG TERM CARE,DALLAS,32.64465296,-96.88347894,n,n,n,n,n,y
PAM SPECIALTY HOSPITAL OF TEXARKANA SOUTH,1000 PINE STREET6TH FLOOR,TEXARKANA,TX,75501,(903) 798-7600,LONG TERM CARE,BOWIE,33.42908549,-94.04734159,n,n,n,n,n,y
SOLARA HOSPITAL HARLINGEN BROWNSVILLE CAMPUS,333 LORENALY DRIVE,BROWNSVILLE,TX,78520,(956) 546-0808,LONG TERM CARE,CAMERON,25.97380934,-97.50988921,n,n,n,n,n,y
SELECT SPECIALTY HOSPITAL - DALLAS (DOWNTOWN),3500 GASTON AVENUE3RD AND 4TH FLOOR,DALLAS,TX,75246,(972) 227-0093,LONG TERM CARE,DALLAS,32.79026509,-96.78029041,n,n,n,n,n,y
SELECT SPECIALTY HOSPITAL - DALLAS (GARLAND),2300 MARIE CURIE3W & 3E FLOORS,GARLAND,TX,75042,(469) 334-0853,LONG TERM CARE,DALLAS,32.91934267,-96.66137745,n,n,n,n,n,y
VIBRA HOSPITAL OF RICHARDSON,401 WEST CAMPBELL ROADSUITE 300,RICHARDSON,TX,75080,(469) 329-7300,LONG TERM CARE,DALLAS,32.97413807,-96.72711984,n,n,n,n,n,y
ATRIUM MEDICAL CENTER,2813 SOUTH MAYHILL ROAD2ND FLOOR,DENTON,TX,76208,(940) 320-2300,LONG TERM CARE,DENTON,33.17414683,-97.08674805,n,n,n,n,n,y
PARIS REGIONAL MEDICAL CENTER - NORTH CAMPUS,865 DESHONG DRIVE,PARIS,TX,75461,(903) 785-4521,GENERAL ACUTE CARE,LAMAR,33.68773479,-95.54760763,y,y,y,y,y,y
SPRING EXCELLENCE SURGICAL HOSPITAL LLC,20635 KUYKENDAHL ROAD,SPRING,TX,77379,(346) 331-4040,GENERAL ACUTE CARE,HARRIS,30.07097555,-95.51194911,y,y,y,y,y,y
DIGINITY HEALTH-ST.ROSE DOMINICAN BLUE DAIMOND CAMPUS,4855 BLUE DIAMOND ROAD,LAS VAGAS,NV,89139,(702) 216-7305,GENERAL ACUTE CARE,CLARK,36.032117,-115.207116,y,y,y,y,y,y
CONTINUECARE HOSPITAL AT MEDICAL CENTER ODESSA,500 W 4TH STREET4TH FLOOR,ODESSA,TX,79761,(432) 640-4380,LONG TERM CARE,ECTOR,31.84545145,-102.3738874,n,n,n,n,n,y
